File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A3_061__1_km_monthly_EVI_doy2016032000000_aid0001,_1_km_monthly_EVI,aid0001,2016-02-01,314.0,0.2739,0.5927,"(0.2739,0.5927)",0.4310475,0.0473733,0.0022442,0.45575,0.5311,0.42785,0.3304,0.404025
MOD13A3_061__1_km_monthly_EVI_doy2016061000000_aid0001,_1_km_monthly_EVI,aid0001,2016-03-01,314.0,0.2873,0.4887,"(0.2873,0.4887)",0.3906404,0.034199,0.0011696,0.415275,0.4792,0.39355,0.3044,0.36995
MOD13A3_061__1_km_monthly_EVI_doy2016092000000_aid0001,_1_km_monthly_EVI,aid0001,2016-04-01,314.0,0.3094,0.5664,"(0.3094,0.5664)",0.4661866,0.0515212,0.0026544,0.5065,0.5664,0.46855,0.3408,0.437425
MOD13A3_061__1_km_monthly_EVI_doy2016122000000_aid0001,_1_km_monthly_EVI,aid0001,2016-05-01,314.0,0.2993,0.6092,"(0.2993,0.6092)",0.478364,0.0702422,0.004934,0.52785,0.6092,0.49315,0.3316,0.448625
MOD13A3_061__1_km_monthly_EVI_doy2016153000000_aid0001,_1_km_monthly_EVI,aid0001,2016-06-01,314.0,0.2964,0.6101,"(0.2964,0.6101)",0.4797032,0.0686577,0.0047139,0.5261,0.6101,0.4939,0.3237,0.444625
MOD13A3_061__1_km_monthly_EVI_doy2016183000000_aid0001,_1_km_monthly_EVI,aid0001,2016-07-01,314.0,0.2385,0.6765,"(0.2385,0.6765)",0.4917051,0.0613112,0.0037591,0.53145,0.6175,0.50535,0.3708,0.46685
MOD13A3_061__1_km_monthly_EVI_doy2016214000000_aid0001,_1_km_monthly_EVI,aid0001,2016-08-01,314.0,0.2925,0.5837,"(0.2925,0.5837)",0.4799943,0.0582957,0.0033984,0.52525,0.5837,0.499,0.326,0.44065
MOD13A3_061__1_km_monthly_EVI_doy2016245000000_aid0001,_1_km_monthly_EVI,aid0001,2016-09-01,314.0,0.3203,0.5805,"(0.3203,0.5805)",0.4837885,0.0409887,0.0016801,0.513725,0.5805,0.48985,0.3623,0.451375
MOD13A3_061__1_km_monthly_EVI_doy2016275000000_aid0001,_1_km_monthly_EVI,aid0001,2016-10-01,314.0,0.1904,0.6088,"(0.1904,0.6088)",0.4870478,0.0602996,0.003636,0.523375,0.6088,0.5002,0.377,0.464175
MOD13A3_061__1_km_monthly_EVI_doy2016306000000_aid0001,_1_km_monthly_EVI,aid0001,2016-11-01,314.0,0.2725,0.575,"(0.2725,0.575)",0.4698646,0.0418058,0.0017477,0.497275,0.575,0.47455,0.3665,0.44275
MOD13A3_061__1_km_monthly_EVI_doy2016336000000_aid0001,_1_km_monthly_EVI,aid0001,2016-12-01,314.0,0.2833,0.5844,"(0.2833,0.5844)",0.4858936,0.0584842,0.0034204,0.527175,0.5844,0.4886,0.3766,0.455175
MOD13A3_061__1_km_monthly_EVI_doy2017001000000_aid0001,_1_km_monthly_EVI,aid0001,2017-01-01,314.0,0.2936,0.5685,"(0.2936,0.5685)",0.4753764,0.0612566,0.0037524,0.5149,0.5685,0.49725,0.3485,0.44805
MOD13A3_061__1_km_monthly_EVI_doy2017032000000_aid0001,_1_km_monthly_EVI,aid0001,2017-02-01,314.0,0.2909,0.5725,"(0.2909,0.5725)",0.4532086,0.0465752,0.0021692,0.4852,0.559,0.454,0.3477,0.4295
