File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A3_061__1_km_monthly_EVI_doy2024153000000_aid0001,_1_km_monthly_EVI,aid0001,2024-06-01,219.0,0.3778,0.6441,"(0.3778,0.6441)",0.5174489,0.0658727,0.0043392,0.56995,0.6441,0.5298,0.3778,0.45795
MOD13A3_061__1_km_monthly_EVI_doy2024183000000_aid0001,_1_km_monthly_EVI,aid0001,2024-07-01,219.0,0.3209,0.6718,"(0.3209,0.6718)",0.5079575,0.0706004,0.0049844,0.56285,0.6718,0.5096,0.3209,0.4483
MOD13A3_061__1_km_monthly_EVI_doy2024214000000_aid0001,_1_km_monthly_EVI,aid0001,2024-08-01,219.0,0.3031,0.5972,"(0.3031,0.5972)",0.4519671,0.0807128,0.0065146,0.51395,0.5972,0.4833,0.3031,0.3683
MOD13A3_061__1_km_monthly_EVI_doy2024245000000_aid0001,_1_km_monthly_EVI,aid0001,2024-09-01,219.0,0.2461,0.5461,"(0.2461,0.5461)",0.3988151,0.0811522,0.0065857,0.45755,0.5461,0.4333,0.2461,0.31405
MOD13A3_061__1_km_monthly_EVI_doy2024275000000_aid0001,_1_km_monthly_EVI,aid0001,2024-10-01,219.0,0.2515,0.5064,"(0.2515,0.5064)",0.3841352,0.065409,0.0042783,0.43845,0.5064,0.3882,0.2515,0.3294
MOD13A3_061__1_km_monthly_EVI_doy2024306000000_aid0001,_1_km_monthly_EVI,aid0001,2024-11-01,219.0,0.343,0.6022,"(0.343,0.6022)",0.4698434,0.0542958,0.002948,0.513,0.6022,0.4629,0.343,0.42665
MOD13A3_061__1_km_monthly_EVI_doy2024336000000_aid0001,_1_km_monthly_EVI,aid0001,2024-12-01,219.0,0.1833,0.6909,"(0.1833,0.6909)",0.4662584,0.0831137,0.0069079,0.5216,0.6736,0.453,0.2504,0.41065
MOD13A3_061__1_km_monthly_EVI_doy2025001000000_aid0001,_1_km_monthly_EVI,aid0001,2025-01-01,219.0,0.1427,0.7598,"(0.1427,0.7598)",0.4932991,0.0918109,0.0084293,0.5562,0.7016,0.4821,0.3055,0.4344
MOD13A3_061__1_km_monthly_EVI_doy2025032000000_aid0001,_1_km_monthly_EVI,aid0001,2025-02-01,219.0,0.1732,0.8379,"(0.1732,0.8379)",0.5094808,0.1272292,0.0161873,0.6027,0.8379,0.4934,0.1732,0.4118
MOD13A3_061__1_km_monthly_EVI_doy2025060000000_aid0001,_1_km_monthly_EVI,aid0001,2025-03-01,219.0,0.2471,0.8494,"(0.2471,0.8494)",0.5326155,0.1240342,0.0153845,0.6023,0.8379,0.5197,0.2471,0.4404
MOD13A3_061__1_km_monthly_EVI_doy2025091000000_aid0001,_1_km_monthly_EVI,aid0001,2025-04-01,219.0,0.2471,0.8022,"(0.2471,0.8022)",0.4730826,0.090617,0.0082114,0.5092,0.6575,0.463,0.3264,0.4103
MOD13A3_061__1_km_monthly_EVI_doy2025121000000_aid0001,_1_km_monthly_EVI,aid0001,2025-05-01,219.0,0.2544,0.6554,"(0.2544,0.6554)",0.4613379,0.0715633,0.0051213,0.5006,0.6258,0.4559,0.2899,0.4151
MOD13A3_061__1_km_monthly_EVI_doy2025152000000_aid0001,_1_km_monthly_EVI,aid0001,2025-06-01,219.0,0.3113,0.6956,"(0.3113,0.6956)",0.485958,0.0574725,0.0033031,0.522,0.6106,0.4897,0.3377,0.4469
MOD13A3_061__1_km_monthly_EVI_doy2025182000000_aid0001,_1_km_monthly_EVI,aid0001,2025-07-01,219.0,0.3118,0.6909,"(0.3118,0.6909)",0.4871342,0.0734177,0.0053902,0.54675,0.6909,0.4978,0.3118,0.42295
MOD13A3_061__1_km_monthly_EVI_doy2025213000000_aid0001,_1_km_monthly_EVI,aid0001,2025-08-01,219.0,0.2574,0.6067,"(0.2574,0.6067)",0.4525584,0.1023967,0.0104851,0.53585,0.6067,0.4886,0.2574,0.34375
